iter	Passed	Remaining
836	1120	218
837	1121	216
838	1122	215
839	1123	214
840	1124	212
841	1125	211
842	1127	209
843	1128	208
844	1129	207
845	1130	205
846	1131	204
847	1133	203
848	1134	201
849	1136	200
850	1138	199
851	1139	198
852	1141	196
853	1142	195
854	1143	193
855	1144	192
856	1146	191
857	1148	189
858	1149	188
859	1150	187
860	1151	185
861	1152	184
862	1153	183
863	1154	181
864	1155	180
865	1156	179
866	1157	177
867	1159	176
868	1160	174
869	1161	173
870	1162	172
871	1163	170
872	1165	169
873	1166	168
874	1167	166
875	1168	165
876	1169	164
877	1170	162
878	1171	161
879	1172	159
880	1173	158
881	1175	157
882	1176	155
883	1177	154
884	1178	153
885	1179	151
886	1180	150
887	1181	149
888	1183	147
889	1184	146
890	1185	145
891	1186	143
892	1187	142
893	1188	140
894	1190	139
895	1191	138
896	1192	136
897	1193	135
898	1194	134
899	1195	132
900	1196	131
901	1198	130
902	1199	128
903	1200	127
904	1201	126
905	1202	124
906	1203	123
907	1204	122
908	1206	120
909	1207	119
910	1208	118
911	1209	116
912	1210	115
913	1211	114
914	1212	112
915	1214	111
916	1215	109
917	1216	108
918	1217	107
919	1219	106
920	1220	104
921	1221	103
922	1222	101
923	1223	100
924	1224	99
925	1225	97
926	1226	96
927	1227	95
928	1228	93
929	1229	92
930	1231	91
931	1232	89
932	1233	88
933	1234	87
934	1235	85
935	1236	84
936	1238	83
937	1239	81
938	1240	80
939	1241	79
940	1242	77
941	1243	76
942	1244	75
943	1246	73
944	1247	72
945	1248	71
946	1249	69
947	1251	68
948	1252	67
949	1253	65
950	1255	64
951	1256	63
952	1257	62
953	1258	60
954	1260	59
955	1261	58
956	1262	56
957	1263	55
958	1264	54
959	1266	52
960	1267	51
961	1268	50
962	1269	48
963	1270	47
964	1271	46
965	1272	44
966	1273	43
967	1275	42
968	1276	40
969	1277	39
970	1278	38
971	1279	36
972	1280	35
973	1281	34
974	1282	32
975	1284	31
976	1285	30
977	1286	28
978	1287	27
979	1288	26
980	1290	24
981	1291	23
982	1292	22
983	1293	21
984	1294	19
985	1296	18
986	1298	17
987	1299	15
988	1300	14
989	1301	13
990	1303	11
991	1304	10
992	1305	9
993	1307	7
994	1308	6
995	1309	5
996	1310	3
997	1311	2
998	1312	1
999	1313	0
